---
source: R[v4.4.3]::data.table[v1.17.0]::fwrite
creation_time_utc: 2025-03-10 08:27:26
schema:
  fields:
  - name: species
    type: character
  - name: ID
    type: integer
  - name: year_
    type: integer
  - name: date_
    type: Date
  - name: caught_time
    type: POSIXct
  - name: bled_time
    type: POSIXct
  - name: sex
    type: character
  - name: tarsus
    type: numeric
  - name: wing
    type: numeric
  - name: weight
    type: numeric
  - name: testo
    type: numeric
  - name: volume
    type: numeric
  - name: GnRH
    type: character
  - name: haema
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
species,ID,year_,date_,caught_time,bled_time,sex,tarsus,wing,weight,testo,volume,GnRH,haema
REPH,270170048,2018,2018-06-10,2018-06-10T17:42:00Z,2018-06-10T17:47:00Z,F,22.2999992370605,144,55.7999992370606,1632.85544,41,,55.8
REPH,270170049,2018,2018-06-10,2018-06-10T17:45:00Z,2018-06-10T17:59:00Z,M,22.2000007629395,135,51.5999984741211,4422.41548,47,,50.5
REPH,270170050,2018,2018-06-11,2018-06-11T10:30:00Z,2018-06-11T10:40:00Z,F,22.2999992370605,138,53.7999992370606,305.41182,14,,55
REPH,270170051,2018,2018-06-11,2018-06-11T10:52:00Z,2018-06-11T11:03:00Z,F,21.6000003814697,137,55.5,1203.31437,50,,56.8
REPH,270170052,2018,2018-06-11,2018-06-11T10:56:00Z,2018-06-11T11:10:00Z,F,21.2999992370606,140,48.4000015258789,523.75617,51,,56
REPH,270170053,2018,2018-06-11,2018-06-11T11:16:00Z,2018-06-11T11:22:00Z,F,21.2000007629395,142,53.2000007629395,569.61318,20,,48
REPH,270170054,2018,2018-06-11,2018-06-11T11:36:00Z,2018-06-11T11:42:00Z,F,22.1000003814697,142,52.7000007629395,462.44915,23,,48
REPH,270170055,2018,2018-06-11,2018-06-11T16:42:00Z,2018-06-11T16:52:00Z,M,22,130.5,49.5,4612.6326,35,,50
REPH,270170056,2018,2018-06-12,2018-06-12T10:48:00Z,2018-06-12T10:58:00Z,F,21.2000007629395,137,49.0999984741211,255.3688,19,,50
REPH,270170058,2018,2018-06-12,2018-06-12T16:36:00Z,2018-06-12T16:48:00Z,F,21.5,145.5,56.2000007629395,323.97696,46,,52
REPH,270170059,2018,2018-06-13,2018-06-13T09:59:00Z,2018-06-13T10:09:00Z,M,22.1000003814697,139.5,44.7999992370606,1760.09986,10,,51
REPH,270170060,2018,2018-06-13,2018-06-13T10:20:00Z,2018-06-13T10:31:00Z,M,22.2000007629395,135,49.0999984741211,6318.84839,34,,53
REPH,270170061,2018,2018-06-13,2018-06-13T10:48:00Z,2018-06-13T10:58:00Z,M,22.3999996185303,135,46.7000007629395,8955.37166,23,,53
REPH,270170062,2018,2018-06-13,2018-06-13T10:58:00Z,2018-06-13T11:10:00Z,M,21.7999992370605,132,46.2999992370606,4623.62533,25,,51
REPH,270170063,2018,2018-06-13,2018-06-13T11:45:00Z,2018-06-13T11:53:00Z,M,22.5,135,53.5,10562.18026,32,,51
REPH,270170064,2018,2018-06-13,2018-06-13T14:37:00Z,2018-06-13T14:44:00Z,M,22.2000007629395,134,50.5999984741211,5551.47677,24,,55
REPH,270170065,2018,2018-06-14,2018-06-14T09:58:00Z,2018-06-14T10:17:00Z,F,21.8999996185303,145,54.4000015258789,220.23924,43,,53
REPH,270170066,2018,2018-06-14,2018-06-14T09:58:00Z,2018-06-14T10:23:00Z,M,21.7999992370605,136,45.9000015258789,2620.75593,16,,51
REPH,270170067,2018,2018-06-14,2018-06-14T09:58:00Z,2018-06-14T10:33:00Z,M,21.1000003814697,135,46.7000007629395,306.76394,45,,52
REPH,270170068,2018,2018-06-14,2018-06-14T10:33:00Z,2018-06-14T10:43:00Z,F,22.3999996185303,144,67,515.49185,24,,60
REPH,270170069,2018,2018-06-14,2018-06-14T11:17:00Z,2018-06-14T11:26:00Z,M,21.3999996185303,130,44.5,5590.20505,50,,52.5
REPH,270170070,2018,2018-06-14,2018-06-14T11:43:00Z,2018-06-14T11:53:00Z,M,22.2999992370605,135,53.2000007629395,7338.76348,24,,52.5
REPH,270170071,2018,2018-06-14,2018-06-14T14:49:00Z,2018-06-14T14:58:00Z,F,23.6000003814697,147,58.5999984741211,574.24797,24,,55
REPH,270170072,2018,2018-06-14,2018-06-14T15:04:00Z,2018-06-14T15:14:00Z,M,22,132,48.5,2551.91202,8,,48
REPH,270170073,2018,2018-06-14,2018-06-14T15:36:00Z,2018-06-14T15:47:00Z,M,23.2999992370605,134,53.5,837.80276,17,,51
REPH,270170074,2018,2018-06-15,2018-06-15T17:01:00Z,2018-06-15T17:13:00Z,F,22.2000007629395,140.5,57.9000015258789,1077.90972,40,,55
REPH,270170075,2018,2018-06-16,2018-06-16T12:00:00Z,2018-06-16T12:10:00Z,M,22.2999992370605,132,42,5034.31672,22,,45.5
REPH,270170076,2018,2018-06-17,2018-06-17T18:00:00Z,2018-06-17T18:18:00Z,F,21.7999992370605,145,60,240.31642,51,,54.5
REPH,270170077,2018,2018-06-19,2018-06-19T11:33:00Z,2018-06-19T11:36:00Z,F,22.2000007629395,137,64.9000015258789,316.78407,27,,51
REPH,270170079,2018,2018-06-19,2018-06-19T12:10:00Z,2018-06-19T12:27:00Z,M,21.8999996185303,132,43.4000015258789,140.91075,27,,50
REPH,270170080,2018,2018-06-19,2018-06-19T12:10:00Z,2018-06-19T12:14:00Z,F,21.6000003814697,144,52.0999984741211,926.71495,13,,52
REPH,270170081,2018,2018-06-19,2018-06-19T12:50:00Z,2018-06-19T13:06:00Z,F,23.6000003814697,144,64.5,254.82591,16,,53
REPH,270170082,2018,2018-06-19,2018-06-19T12:50:00Z,2018-06-19T13:17:00Z,M,23.1000003814697,135,46.2999992370606,1235.62398,10,,52
