---
source: R[v4.5.0]::data.table[v1.17.0]::fwrite
creation_time_utc: 2025-08-18 13:52:36
schema:
  fields:
  - name: species
    type: character
  - name: year_
    type: integer
  - name: nest
    type: character
  - name: male_id
    type: integer
  - name: female_id
    type: integer
  - name: lat
    type: numeric
  - name: lon
    type: numeric
  - name: initiation
    type: POSIXct
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
species,year_,nest,male_id,female_id,lat,lon,initiation
REPH,2018,R608,270170627,270170626,71.322283,-156.647857,2018-06-25T08:34:48Z
REPH,2018,R702,270170085,270170546,71.325736,-156.638715,2018-06-23T15:10:00Z
REPH,2018,R802,270170345,245125800,71.324295,-156.646163,2018-06-20T12:29:00Z
REPH,2018,R804,270170082,270170081,71.32413,-156.631062,2018-06-20T16:40:00Z
REPH,2018,R805,270170621,270170564,71.323011,-156.630698,2018-06-18T09:52:00Z
REPH,2018,R806,270170563,270170564,71.322926,-156.63184,2018-06-22T17:59:00Z
REPH,2018,R807,270170768,270170754,71.312116,-156.660514,2018-06-21T11:53:00Z
REPH,2018,R808,270170089,270170084,71.323164,-156.62766,2018-06-21T09:02:00Z
REPH,2018,R809,270170532,270170555,71.326028,-156.63282,2018-06-23T15:26:00Z
REPH,2018,R810,270170620,270170093,71.326171,-156.634062,2018-06-18T17:49:30Z
REPH,2018,R811,270170616,270170619,71.326525,-156.632797,2018-06-22T16:37:00Z
REPH,2018,R812,270170245,270170051,71.319106,-156.649794,2018-06-23T20:43:01Z
REPH,2018,R903,270170063,270170712,71.312941,-156.665101,2018-06-23T09:52:54Z
REPH,2018,R904,18904,273145005,71.327692,-156.642317,2018-06-20T23:32:37Z
REPH,2018,R905,270170736,270170737,71.319047,-156.648108,2018-06-23T05:06:47Z
REPH,2018,R906,270170557,270170556,71.318627,-156.646827,2018-06-23T13:12:00Z
REPH,2018,R907,270170091,273145005,71.319345,-156.646085,2018-06-24T16:21:00Z
